# Written by internal/licenses/gen. Do not edit; run `go generate ./internal/licenses`.
# Versions are deliberately absent: the binary records its own, and a copy
# here would go stale on every bump.
# module	licence file as named upstream	file in this directory
github.com/atotto/clipboard	LICENSE	github.com_atotto_clipboard.txt
github.com/aymanbagabas/go-osc52/v2	LICENSE	github.com_aymanbagabas_go-osc52_v2.txt
github.com/charmbracelet/bubbles	LICENSE	github.com_charmbracelet_bubbles.txt
github.com/charmbracelet/bubbletea	LICENSE	github.com_charmbracelet_bubbletea.txt
github.com/charmbracelet/colorprofile	LICENSE	github.com_charmbracelet_colorprofile.txt
github.com/charmbracelet/lipgloss	LICENSE	github.com_charmbracelet_lipgloss.txt
github.com/charmbracelet/ultraviolet	LICENSE	github.com_charmbracelet_ultraviolet.txt
github.com/charmbracelet/x/ansi	LICENSE	github.com_charmbracelet_x_ansi.txt
github.com/charmbracelet/x/cellbuf	LICENSE	github.com_charmbracelet_x_cellbuf.txt
github.com/charmbracelet/x/conpty	LICENSE	github.com_charmbracelet_x_conpty.txt
github.com/charmbracelet/x/exp/ordered	LICENSE	github.com_charmbracelet_x_exp_ordered.txt
github.com/charmbracelet/x/term	LICENSE	github.com_charmbracelet_x_term.txt
github.com/charmbracelet/x/termios	LICENSE	github.com_charmbracelet_x_termios.txt
github.com/charmbracelet/x/vt	LICENSE	github.com_charmbracelet_x_vt.txt
github.com/charmbracelet/x/windows	LICENSE	github.com_charmbracelet_x_windows.txt
github.com/clipperhouse/displaywidth	LICENSE	github.com_clipperhouse_displaywidth.txt
github.com/clipperhouse/uax29/v2	LICENSE	github.com_clipperhouse_uax29_v2.txt
github.com/coder/websocket	LICENSE.txt	github.com_coder_websocket.txt
github.com/creack/pty	LICENSE	github.com_creack_pty.txt
github.com/erikgeiser/coninput	LICENSE	github.com_erikgeiser_coninput.txt
github.com/lucasb-eyer/go-colorful	LICENSE	github.com_lucasb-eyer_go-colorful.txt
github.com/mattn/go-isatty	LICENSE	github.com_mattn_go-isatty.txt
github.com/mattn/go-localereader	(none upstream)	github.com_mattn_go-localereader.txt
github.com/mattn/go-runewidth	LICENSE	github.com_mattn_go-runewidth.txt
github.com/muesli/ansi	LICENSE	github.com_muesli_ansi.txt
github.com/muesli/cancelreader	LICENSE	github.com_muesli_cancelreader.txt
github.com/muesli/termenv	LICENSE	github.com_muesli_termenv.txt
github.com/rivo/uniseg	LICENSE.txt	github.com_rivo_uniseg.txt
github.com/xo/terminfo	LICENSE	github.com_xo_terminfo.txt
golang.org/x/sync	LICENSE	golang.org_x_sync.txt
golang.org/x/sys	LICENSE	golang.org_x_sys.txt
golang.org/x/text	LICENSE	golang.org_x_text.txt
gopkg.in/yaml.v3	LICENSE	gopkg.in_yaml.v3.txt
